,,,,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,QtyActual,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,LineTotal W/ CRV & ST ,QtyActual,LineTotal W/ CRV & ST 
,,,,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,Total,Total
Class,InventoryNum,Description,InventoryPackageNum,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,Total,Total
Baked Goods,BAK00037,Oldcountry Sourdough English Muffin 6 ct,BAG,,,,,,,,,,,,,,,,,30,70,70,90,80,100,60,60,,,,,,,,,,,,,,,,,$85.50 ,$199.50 ,$199.50 ,$256.50 ,$228.00 ,$285.00 ,$171.00 ,$171.00 ,560,"$1,596.00 "
Baked Goods,BAK00030,Orowheat 100% Whole Wheat 1 lb,BAG,,,,,,,,,,,,,,,,,14,36,40,45,40,50,30,30,,,,,,,,,,,,,,,,,$57.87 ,$148.82 ,$165.36 ,$186.03 ,$165.36 ,$206.70 ,$124.02 ,$124.02 ,285,"$1,178.18 "
Baked Goods,BAK00031,Orowheat Multi Grain 24 oz,BAG,,,,,,,,,,,,,,,,,13,36,38,45,40,50,30,30,,,,,,,,,,,,,,,,,$64.79 ,$179.42 ,$189.39 ,$224.28 ,$199.36 ,$249.20 ,$149.52 ,$149.52 ,282,"$1,405.48 "
Baked Goods,BAK00032,Orowheat Country White 24 oz,BAG,,,,,,,,,,,,,,,,,10,38,40,45,40,50,30,30,,,,,,,,,,,,,,,,,$35.00 ,$133.00 ,$140.00 ,$157.50 ,$140.00 ,$175.00 ,$105.00 ,$105.00 ,283,$990.50 
Baked Goods,BAK00003,Udi's Gluten Free Bread Whole Grain 12 oz,EACH,4,3,6,,,,4,,,,5,2,4,3,4,4,3,,,,,,,,$14.91 ,$11.18 ,$22.36 ,,,,$15.37 ,,,,$19.22 ,$7.69 ,$15.37 ,$11.53 ,$15.37 ,$26.53 ,$19.89 ,,,,,,,,42,$179.42 
Baked Goods,BAK00029,Orowheat English Muffin 100% Whole Wheat 6 ct,BAG,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,$46.67 ,,,,,,,10,$46.67 
Baked Goods,BAK00050,Le Boulanger English Muffin 6 ct,BAG,85,89,90,80,95,80,76,90,77,90,82,52,90,70,70,85,50,,10,,,,,,$270.47 ,$283.20 ,$286.38 ,$254.56 ,$306.75 ,$262.48 ,$249.36 ,$295.29 ,$252.64 ,$295.29 ,$269.04 ,$170.61 ,$295.29 ,$229.67 ,$232.17 ,$304.27 ,$181.65 ,,$36.33 ,,,,,,"1,361","$4,475.45 "
Baked Goods,BAK00065,Brother Juniper Bread Sliced Whole Wheat 20 oz,BAG,45,45,45,35,46,40,40,45,40,45,41,26,45,35,33,41,26,4,,,,,,,$130.23 ,$130.23 ,$130.23 ,$101.30 ,$134.56 ,$119.36 ,$119.36 ,$134.28 ,$119.36 ,$134.28 ,$122.34 ,$77.58 ,$134.28 ,$104.44 ,$98.47 ,$128.94 ,$107.89 ,$21.87 ,,,,,,,677,"$2,049.00 "
Baked Goods,BAK00066,Brother Juniper Bread Sliced Homespun White 20 oz,BAG,45,45,45,37,46,40,40,45,38,45,41,26,45,35,33,41,30,2,,,,,,,$130.23 ,$130.23 ,$130.23 ,$107.09 ,$134.56 ,$119.36 ,$119.36 ,$134.28 ,$113.39 ,$134.28 ,$122.34 ,$77.58 ,$134.28 ,$104.44 ,$115.61 ,$221.39 ,$163.98 ,$10.93 ,,,,,,,679,"$2,203.56 "
Baked Goods,BAK00067,Brother Juniper Bread Sliced Multigrain 20 oz,BAG,35,43,45,38,48,40,35,45,40,45,40,26,45,32,28,41,27,4,,,,,,,$101.29 ,$124.45 ,$130.23 ,$109.98 ,$140.53 ,$119.36 ,$104.44 ,$134.28 ,$119.36 ,$134.28 ,$119.36 ,$77.58 ,$134.28 ,$95.49 ,$100.69 ,$221.39 ,$147.58 ,$21.87 ,,,,,,,657,"$2,136.44 "
Baked Goods,BAK00068,Brother Juniper Bread Sliced Roasted 3 Seed 20 oz,BAG,30,41,39,33,45,35,38,43,34,36,34,21,31,14,18,18,15,4,,,,,,,$86.82 ,$118.66 ,$112.89 ,$95.51 ,$132.13 ,$104.44 ,$113.40 ,$128.32 ,$101.46 ,$107.42 ,$101.45 ,$62.66 ,$92.51 ,$41.77 ,$64.42 ,$96.69 ,$81.99 ,$21.87 ,,,,,,,529,"$1,664.41 "
Baked Goods,BAK00069,Brother Juniper Bread Sliced Struan 20 oz,BAG,30,43,41,32,38,34,33,37,33,32,32,18,28,16,18,17,13,5,,,,,,,$86.82 ,$124.45 ,$118.67 ,$92.64 ,$111.53 ,$101.48 ,$98.50 ,$110.44 ,$98.50 ,$95.52 ,$95.51 ,$53.72 ,$83.55 ,$47.75 ,$62.28 ,$91.23 ,$71.07 ,$27.33 ,,,,,,,500,"$1,570.99 "
Beverages,BEV01112,Tejava Unsweetened 33.8 oz,BOTTLE,96,48,84,72,108,120,61,120,96,108,84,60,96,60,84,84,144,120,85,133,132,108,108,96,$154.16 ,$77.08 ,$134.89 ,$115.63 ,$240.06 ,$270.80 ,$137.66 ,$270.80 ,$216.63 ,$243.72 ,$189.56 ,$135.40 ,$216.64 ,$135.40 ,$192.37 ,$216.78 ,$376.80 ,$314.00 ,$222.42 ,$348.02 ,$345.40 ,$282.60 ,$282.60 ,$251.20 ,"2,307","$5,370.62 "
Beverages,BEV00270,Odwalla Orange Juice 59 oz,EACH,107,100,96,80,84,85,68,62,53,68,60,34,89,69,78,65,67,81,65,65,56,84,57,47,$967.28 ,$903.99 ,$867.84 ,$723.20 ,$768.04 ,$792.20 ,$633.76 ,$577.84 ,$493.66 ,$633.75 ,$559.20 ,$316.88 ,$829.46 ,$643.08 ,$726.95 ,$636.39 ,$665.38 ,$804.48 ,$645.61 ,$645.62 ,$556.22 ,$834.37 ,$566.14 ,$466.87 ,"1,720","$16,258.21 "
